"word","eigen"
"víctimas",1
"ustedes",0.681392383997588
"justicia",0.4693659340974
"audiencia",0.41962825062286
"día",0.280080834388584
"quiero",0.257991285834242
"personas",0.251358202715062
"pasó",0.243662950430124
"señores",0.223488952175965
"país",0.219364289998284
"sociedad",0.217094034524264
"presentes",0.21538110051924
"testimonio",0.213553931351341
"voz",0.210679265438697
"camino",0.204474115968265
"magistrados",0.197169063024787
"reparación",0.188833422927482
"esperanza",0.183905724784564
"familiares",0.178539782415068
"aplausos",0.174903632858136
